measure,location,sex,age,cause,metric,year,val,upper,lower
2,1,3,22,591,1,2005,6748077.809064483,7757591.852621952,5851087.58305198
2,1,3,22,591,2,2005,0.002540200859564981,0.0029326731117073745,0.002190878218137788
2,1,3,22,591,3,2005,103.77909570855684,119.30447308413375,89.98422891108916
2,1,3,22,591,1,2006,6887838.902567539,7852114.42884891,6013509.223038418
2,1,3,22,591,2,2006,0.002616021102003275,0.003023769741761455,0.0022611250734913104
2,1,3,22,591,3,2006,104.53986844071366,119.17511733140378,91.26976863659158
2,1,3,22,591,1,2008,7288285.4450898655,8302648.532398911,6340827.332899257
2,1,3,22,591,2,2008,0.0027674450309524536,0.003174508891928122,0.0023914178841204134
2,1,3,22,591,3,2008,107.67884355926633,122.6652824156411,93.68087454307444
2,1,3,22,591,1,2004,6584448.466931532,7587872.481131446,5661353.958352646
2,1,3,22,591,2,2004,0.0024691412902536104,0.0028482317401019377,0.002117981611429426
2,1,3,22,591,3,2004,102.58751989481358,118.22114229107768,88.2054533118306
2,1,3,22,591,1,2014,8852518.832779193,10066642.403783157,7760577.267726545
2,1,3,22,591,2,2014,0.003406152614096587,0.003958613343767918,0.0029483083298405643
2,1,3,22,591,3,2014,121.16573349498694,137.78362223525468,106.22016792630794
2,1,3,22,591,1,2010,7767295.535936955,8845633.980518874,6776798.532180303
2,1,3,22,591,2,2010,0.0029574836754768566,0.0034147890701975176,0.0025643236156773904
2,1,3,22,591,3,2010,111.74749266844462,127.2614662094918,97.49728728443368
2,1,3,22,591,1,2015,9172917.904344138,10398882.312707135,8015807.184536327
2,1,3,22,591,2,2015,0.003526601433885717,0.0040969426386096965,0.00305221429108209
2,1,3,22,591,3,2015,124.01849753360025,140.59362286889206,108.37427892758525
2,1,3,22,591,1,2013,8572495.220943771,9667551.234068893,7468610.672085206
2,1,3,22,591,2,2013,0.0033003697629070215,0.0038125646182610596,0.0028650141467650323
2,1,3,22,591,3,2013,118.79484138612264,133.96977027617314,103.49756952881535
2,1,3,22,591,1,2011,8030792.614115853,9133455.488295883,7003705.035879529
2,1,3,22,591,2,2011,0.0030710194149394503,0.0035261501033099158,0.002664333625987631
2,1,3,22,591,3,2011,114.10869818426443,129.77632044207752,99.51491745734437
2,1,3,22,591,1,2012,8270386.052989901,9414065.861039499,7206870.66699563
2,1,3,22,591,2,2012,0.003179859262396847,0.0036709702776034437,0.0027611306589578498
2,1,3,22,591,3,2012,116.05390380386794,132.10255081688467,101.13016124707474
2,1,3,22,591,1,2021,10850727.597753659,12320650.109573275,9207080.09905053
2,1,3,22,591,2,2021,0.0037695354654498827,0.004378825086886945,0.0031941009215445976
2,1,3,22,591,3,2021,137.50148021806964,156.1284818970079,116.67301853268029
2,1,3,22,591,1,2017,9729929.400340656,10985384.89234179,8456446.86985641
2,1,3,22,591,2,2017,0.003737212386623729,0.0043313534486430025,0.0032205615089123617
2,1,3,22,591,3,2017,128.43850714238744,145.0109633793972,111.62808762571778
2,1,3,22,591,1,2019,10314987.59078253,11642475.453693114,8862487.830958206
2,1,3,22,591,2,2019,0.003967037386476097,0.0046250220372399085,0.0033676292640591327
2,1,3,22,591,3,2019,133.17689018843254,150.31609697752253,114.42365376324221
2,1,3,22,591,1,2020,10590996.35214915,12024137.164620336,9042787.226711065
2,1,3,22,591,2,2020,0.0038495145796245277,0.004470804051796822,0.003265728006699167
2,1,3,22,591,3,2020,135.3938115839524,153.7148826791778,115.6017233183774
2,1,3,22,591,1,2016,9486262.123996016,10683384.803006977,8237858.115279654
2,1,3,22,591,2,2016,0.0036419003563094186,0.004237220259345585,0.0031465799833252047
2,1,3,22,591,3,2016,126.70967985551796,142.69985906652224,110.03452685983397
2,1,3,22,591,1,2018,9986620.905794093,11297827.565320667,8692707.970484506
2,1,3,22,591,2,2018,0.0038395623690739566,0.00444207323807473,0.00324579888825963
2,1,3,22,591,3,2018,130.33914902478813,147.45220075774958,113.45180419701259
5,1,3,22,591,1,1990,11712345.365715671,12623875.92755427,10891657.546016049
5,1,3,22,591,2,1990,0.0022539603269433,0.0024262492368155,0.0020974895302584
5,1,3,22,591,3,1990,219.59453135388,236.68479980922,204.2074716722
5,1,3,22,591,1,1991,11899291.98299148,12819373.966020243,11069316.002461918
5,1,3,22,591,2,1991,0.0022557656727873,0.0024267876884603,0.0021008847972173
5,1,3,22,591,3,1991,219.68543128164998,236.67203918614,204.36236571634998
5,1,3,22,591,1,1992,12090482.27013967,13020064.521325296,11247910.012885798
5,1,3,22,591,2,1992,0.0022592248101843,0.0024292454415353,0.0021044222289904
5,1,3,22,591,3,1992,219.93861293771,236.84869364162,204.6113357109
5,1,3,22,591,1,1993,12289781.65560674,13230050.955627857,11436130.608611785
5,1,3,22,591,2,1993,0.0022650307178162,0.0024343556261078,0.0021102062773424
5,1,3,22,591,3,1993,220.42600117175,237.29040182883,205.11516067367
5,1,3,22,591,1,1994,12507080.77515742,13457965.31428296,11647017.17685423
